sit,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29
16,أى,всеки,svatko,někdo,enhver,jeder,,anyone,cualquier,igaüks,kuka,monde,כל אחד,svatko,aki,orang,,も,iedereen,helst,każdy,qualquer,oricine,каждому,vsak,sva,helst,herkese,ai,人人
17,لأحد,никой,nitko,nikdo,,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,לאף אחד,nitko,senki,siapa pun,nessuno,,niemand,noen,nikt,ninguém,nimeni,никто,nič,nitko,,kimse,ai,任 何 人
18,أى,,,nikdo,nogen,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,siapapun,nessuno,誰 も,niemand,,nikt,ninguém,acestea,никто,nič,nitko,ingen,kimse,ai,人
19,,никой,,,nogen,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,siapapun,nessuno,誰 も,niemand,noen,nikt,ninguém,nimeni,,,nitko,någon,kimse,ai,任 何 人
20,أحد,някой,netko,někdo,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,,netko,valaki,seseorang,qualcun,,,noen,ktoś,alguém,cineva,кто-нибудь,kdo,netko,någon,bir,ai,人去
21,شخص,,nitko,nikdo,,,κανένας,anyone,nadie,keegi,kukaan,personne,מישהו,netko,senki,orang,nessuno,誰 も,niemand,flere,nikt,ninguém,nimeni,кто-то,nič,nitko,någon,bir,ai,
22,أحداً,никой,nitko,nikdo,nogen,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,תתנה לאף אחד,nitko,,siapapun,nessuno,誰 も,niemand,noen,,ninguém,nimeni,никто,nič,nitko,någon,,ai,
23,يتحركن,никой,nic,,ingen,keine,,nobody,nadie,keegi,jokainen,personne,,nitko,senki,jangan ada,nessuno,身動き,niemand,ingen,,ninguém,nimeni,никто,nihče,nitko,ingen,kimse kımıldamasın,quậy,谁也
24,أحد,няма,nitko,,ingen,niemand,κανένας,nobody,nadie,keegi,kukaan,,אף,nitko,senki,ada,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,nihče,nitko,ingen,kimse,ai,没
25,أحد,никой,nitko,nikdo,,keine,,nobody,nadie,olge,kukaan,personne,,nitko,mozduljanak,jangan ada,nessuno,動,,ingen,nikt,ninguém,nimeni,не,ganite,nitko,ingen,kimse kımıldamasın,ai,
26,أحد,никой,nitko,,,keine,κανένας,nobody,nadie,,kukaan,personne,איש,nitko,alattam,tak ada,nessuno,誰,niemand,ingen,zdałem,ninguém,nimeni,никто,nihče ni,nitko,ingen,kimse,ai,夜空 没
27,أحد,никой,nitko,neodletí,ingen,keine,κανένας,nobody,nadie,keegi,kukaan,décollage,אף,nitko,,ada,nessuno,誰,niemand,ingen,,ninguém,nimeni,никто,nihče,nitko,ingen,,ai,
28,احد,никой,nitko,nezbyl,ingen,niemand,κανένας,nobody,nadie,keegi,kukaan,personne,אף,nitko,senki,tak ada,nessuno,しか,niemand,ingen,nikt,ninguém,nimeni,никто,,nitko,ingen,verdiğim kimsem,ai,有其
29,أحد,никой,nitko,nikdo,ingen,niemand,κανένας,nobody,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,tak ada,nessuno,誰,niemand,,nikt,ninguém,nimeni,никто,nihče,ide,,kimse,ai,没 有人
30,أحد,,nitko,nikdo,ingen,keine,κανένας,nobody,nadie,keegi,ei,personne,אף,nitko,senki,,nessuno,,niemand,ingen,nikt,ninguém,nimeni,никто,,nitko,ingen,kimse,,沒 有人
31,أحد,никой,pomjerajte,nehne,bliver,keine,κουνηθεί,nobody,,keegi,kukaan,personne,אף,nitko,,,nessuno,誰,beweeg,ingen,ruszać,ninguém,nimeni,никто,ganite,nitko,ingen,kimse kımıldamasın,ai,许动
32,فلم,никой,nitko,nikdo,ingen,keine,κανένας,nobody,nadie,keegi,kukaan,nul,איש,nitko,senki,tak seorangpun,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,nihče,nitko,ingen,kimse,ai,没 有人
33,أحد,никой,nitko,nikdo,ingen,keine,κανένας,nobody,nadie,keegi,kukaan,personne,ידע,nitko,senki,tak ada,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,nihče ni,nitko,ingen,kimse,ai,但沒 有人
34,,никой,nitko,,ingen,niemand,κανένας,nobody,nadie,keegi,kukaan,personne,שאיש,nitko,senki,,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,,nitko,ingen,kimse,ai,
35,أحد,никой,nitko,nikdo,ingen,keine,κανένας,nobody,nadie,keegi,kukaan,personne,אף,nitko,senki,tak seorangpun,nessuno,ひとり,niemand,ingen,nikt,ninguém,nimeni,никто,nihče,nitko,ingen,kimse,,
36,أحد,никой,uđe,nemohl,ingen,,κανένας,nobody,nadie,keegi,kukaan,nul,,nitko,senki,ada,nessuno,,niemand kon,ingen,nikt,ninguém,nimeni,никто,nihče,nitko,ingen,kimse,ai,走廊
37,أحد,,nitko,,ingen,niemand,κανένας,nobody,nadie,keegi,kukaan,personne,אף,nitko,senki,tak,nessuno,誰,niemand,,nikt,ninguém,nimeni,никто,ni,nitko,,kimse,ai,没人
38,أحد,никой,nitko,,ingen,bloß,κανένας,nobody,nadie,keegi,kukaan,qu'aucun,.שאף,nitko,,tak ada,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,ni nihče,nitko,,,,有人
39,أحد,няма,nitko,nikdo,ingen,keine,κανένας,nobody,nadie,keegi,kukaan,bobo,אף,nitko,senki,ada,nessuno,,niemand,ingen,nikt,ninguém,nimeni,остаются,,nitko,ingen,kimse,ai,沒 有人
40,,никой,nitko,nikdo,rør,keine,ακίνητοι,nobody,nadie,jääge,aloillanne,personne,,mičite,mozduljanak,jangan,nessuno,動,beweging,,ruszać,ninguém,nimeni,не,ganite,nitko,ingen,kimse kımıldamasın,ai,大家
41,شخص,някой,netko,,,jemand,κάποιος,someone,alguien,keegi,eräs,quelqu'un,מישהו,netko,valaki,seseorang,persona,者,iemand,en,ktoś,alguém,cineva,человек,nekaj,netko,någon,bir,người,個人
42,,никой,nitko,,nogen,niemand,κανένας,nobody,nadie,keegi,kukaan,personne,אף,nitko,senki,asing,nessuno,誰,niemand,ingen,nikt,ninguém,nimeni,никто,nihče,nitko,ingen,kimse,ai,路人
43,أحد,всеки,svatko,kdokoliv,alle,jeder,οποιοδήποτε,anybody,cualquier,kes,kaikille,n'importe,לאף אחד,svatko,bárki mással,siapa pun,chiunque,遭わ,iedereen,alle,każdy,qualquer,oricui,любой,komur koli,ko,helst,yapardık,,样做
44,أى,всеки,svatko,terčem,alle,,καθένας,anyone,cualquier,igaüks,maalin,,כל אחד,svatko,bárki,siapapun,chiunque,誰,wie,,każdy,qualquer,oricine,любой,vsak,sva,,herhangi,ai,谁都
45,أى,всеки,tko,spatřen,nogen,,όποιος,anyone,cualquier,kes,liikkuvat,quiconque,כל מי שימצא,svatko tko,aki,siapapun,chiunque,者,iedereen,noen,kto,alguém,,любой вышедший,kdokoli,izachi,någon,,ai,任 何 人
46,,всеки,svatko,,,jeder,οποιονδήποτε,anyone,cualquier,kes,,ceux,כל,svatko,mindenkit,pun,chiunque,誰,iedereen,alle,każdy,quem quer,oricine,всё,vsakdo,sva,alla,herkesi,bất,人
47,سكان,някой,tko,kdokoliv,nogen,leute,άλλαζαν,anyone,nadie,keegi,kukaan,quiconque,‫שמישהו,,bárki,warga,abitanti,変わ,iemand,noen,ktokolwiek,alguém,cineva,хоть кто-то,kdokoli,ko,någon,keza,,
48,أحد,всеки,tko,kdokoliv,helst,antun,οποιοδήποτε,anyone,cualquier,kes,kuka,n'importe qui,לאף אחד,napravili,megtennétek,siapapun..,chiunque,同じ,wie,helst,każdy,qualquer,oricui,,,ko,helst,herkese yaparsiniz,bất kỳ ai,任 何 人
49,أى,всеки,svatko,,enhver,jeder,οποιονδήποτε,anyone,quien,kes,jos joku,ceux,כל,tko,bárki,siapapun,chiunque,者,iedereen,alle,każdy,quem,oricine,кто,vsakdo,sva,alla,herkesi,ai,何
50,شخص,всеки,svatko,,enhver,jeder,οποιοσδήποτε,anyone,,kes,,quiconque,מישהו,bilo,valaki,siapa pun,chiunque,誰,iedereen,alle,,qualquer,oricine,любой,kdokoli,sva,någon,herkes,,任 何
51,أكُن,някой,uopšte,někdo,der,übriggeblieben,κανένας,anybody,quedaba gente,keegi,ainuttakaan,,מישהו,itko,maradtak-e,ada seseorang,fossero,居,iemand,eksisterte,ktoś,alguém,cineva,вообще кто-нибудь,kdo,netko,någon,midir,ai,有其 他人
52,أحداً,никой,,,nogen,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,siapa pun,nessuno,,niemand,noen,nikt,ninguém,nimeni,никто,,nitko,någon,kimse,ai,
53,أى,никой,nitko,někdo,,niemand,κανένας,anyone,nadie,keegi,kukaan,qui,אחד,nitko,bárki,siapapun,nessuno,も,niemand,noen,nikt,alguém,cineva,кто-то,nič,nitko,någon,kimse,ai,
54,أحد,никой,itko,volal,nogen,irgendwer,κανένας,anyone,nadie,keegi,kukaan,personne,לאף אחד,itko,bárki,siapapun,nessuno,誰 も,niemand,noen,nikt,ninguém,nimeni,никто,kdokoli,itko,någon,kimse,ai,任 何 人
55,شخص,някой,netko,,en,einer,κάποιος,someone,alguien,keegi,toista,quelqu'un,למישהי,netko,,seseorang,qualcun,勝ち取れ,iemand,,ktoś,alguém,cineva,,izsiliti,netko,,bir,người,
56,أحداً,някой,,,nogen,jemand,κάποιος,anyone,alguien,keegi,kukaan muu,quelqu'un,שאי,nitko,aki,ada orang,qualcun,信じ,iemand,noen,nikt,alguém,cineva,кто-то сможет,kdo,itko,ingen,kimse anlayabileceğini,người,戳辨
57,ليساعدني,някой,,,,,κάποιος,somebody,echenme,keegi,auttakaa,d'aide,.שמישהו,netko,valaki,seseorang,qualcun,誰 か,iemand,noen,,alguém,ajute cineva,кто-нибудь,nekaj,netko,någon,bir,ai,我找
58,شخص,някой,netko,někdo,en,jemand,κάποιος,somebody,alguien,keegi,,qu'on,מישהו,netko,valaki,seseorang,qualcun,人,iemand,noen,ktoś,alguém,cineva,кто,,netko,någon,bir,ai,
59,أحدكم,,zovite,někdo,,brauchen,κάποιος,somebody,se,helistage,soittakaa,,מישהו,zovite,hívják,seseorang,chiamare,か,bel,noen,wezwijcie,alguém,cineva,вызовите,pokličite,zovite,någon,bir,,找人
60,اقتلوه،,някой,netko,,,,κάποιος,somebody,alguien,keegi,joku,quelqu'un,שמישהו,netko,valaki,siapapun,qualcun,誰 か,iemand,annen,,none,cineva,кто-нибудь,,netko,någon,bir,bay,谁来
61,لرجل,някой,netko,někdo,en,jemand,έναν,somebody,alguien,keegi,joku,type,מישהו,netko,erősebb,orang,qualcun,タフ,,en,ktoś,alguém,om,крепкий,močnega,netko,någon,bir,người khoẻ,強壯
62,,някой,netko,,en,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,熟知,iemand,noen,ktoś,alguém,cineva,то,nekaj,netko,någon,bir,ai,捉她
63,شخص,някой,netko,,nogen,irgendjemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,ai,有人
64,أهلاً,някой,netko,někdo,nogen,anderen,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,orang,qualcun,,ander,noen,ktoś,alguém,cineva,желающих,nekaj,netko,någon,bir,ai,别
65,شخص,,netko,někdo,en,jemand,κάποιος,someone,,keegi,joku,quelqu'un,מישהו,netko,,ada,qualcun,者,ander,noen,ktoś,alguém,altcineva,кто-то,nekaj,netko,någon,bir,có người,别
66,شخص,някой,netko,někdo,nogen,jemand,κάποιος,someone,alguien,,,,מישהו,netko,valaki,seseorang,qualcun,,iemand,noen,ktoś,alguém,cineva,,nekaj,netko,någon,bir,người,个
67,شخص,някой,netko,někdo,en,jemand,κάποιος,someone,alguien,keegi,löytää,quelqu'un,,netko,,seseorang,persona,,iemand,som,ktoś,alguém,cineva,приятным,nekaj,netko,någon,çıkmam,ai,
68,شخص,някой,netko,někdo,,jemand,κάποιος,someone,alguien,keegi,ekana,,מישהו,netko,valaki,ada,qualcun,誰,,,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,người,总得
69,,някой,netko,,,jemand,κάποιος,someone,alguien,keegi,joku,on,מישהו,netko,valaki,ada,qualcun,,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,có người,有人
70,,някой,netko,někdo,en,einer,,someone,alguien,keegi,joku,quelqu'un,יחול,netko,valaki,melamar,qualcun,誰,iemand,en,,pessoa,altul,кто-нибудь,,netko,någon,evlenme,ai,
71,شخص,човек,netko,,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,orang,qualcun,,iemand,noen,ktoś,alguém,cineva,спущусь,nekaj,netko,någon,bir,có người,有人
72,شخص,някой,netko,někdo,nogen,jemand,κάποιος,someone,,keegi,joku,quelqu'un,למישהו,netko,,orang,qualcun,誰,iemand,noen,ktoś,,altcineva,,komu,netko,någon,,người,人去
73,أحدكم,някой,netko,,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,ai,总得 有人
74,أحد,някой,netko,někdo,nogen,,κάποιος,someone,alguien,keegi,,,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,,кто-то,nekaj,netko,någon,,có người,個人
75,أحد,някой,netko,někdo,,jemand,κάποιος,someone,alguien,keegi,,quelqu'un,למישהו,netko,valaki,orang,qualcun,相手,ander,,ktoś,pessoa,altcineva,кто-то,kdo,netko,någon,bir,ai,
76,,някой,netko,někdo,nogen,jemand,,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,人,iemand,noen,ktoś,alguém,careva,кто-то,kdo,netko,någon,bir,ai,个 人
77,شخص,някой,netko,,en,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,aki,seseorang,qualcun,,iemand,,,alguém,cineva,человек,nekaj,netko,någon,bir,người,
78,,някой,netko,někdo,nogen,irgendjemand,κάποιος,somebody,alguien,keegi,joku,quelqu'un,מישהו,netko,valakinek vigyáznia,ada,qualcun,か,iemand,noen,ktoś,alguém,cineva,кто-то,nekdo,netko,någon,bir,,总得 有人
79,أحد,някой,netko,někdo,nogen,,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,,noen,ktoś,alguém,cineva,,kdo,netko,någon,bir,ai,
80,لديه,някой,netko,někdo,en,jemand,,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,orang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-то,kdo,netko,,bir,người,派人
81,لشخص,някой,netko,,,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,,seseorang,qualcun,者,iemand,en som,ktoś,alguém,,человек,nekaj,netko,någon,bir,người,个
82,أيريد,някой,netko,někdo,der,,κάποιος,anybody,alguien,keegi,haluaako joku,quelqu'un,מישהו,,valaki,ada,qualcun,,iemand,noen,któryś,alguém,cineva,кто-нибудь,kdo,netko,någon,isteyen,ai,有人
83,,някой,itko,,nogen,jemand,κανένας,anybody,viste,,kukaan,personne,הנה,itko,senki se,ada orang,qualcun,だい,gedragen,noen,ktoś,viu,cineva,никто,kdo,netko,någon,bir,ai,有觉
84,,някой,tko,,nogen,jemand,,anybody,alguien,keegi,kuka,quelqu'un,מישהו,itko,bárki,siapapun,qualcun,誰,niemand,noen,kto,alguém,cineva,кто-то,koli,itko,någon,bir,,有人
85,أحد,,itko,slyší,nogen,,κανένας,anybody,alguien,keegi,kuuleeko kukaan,,‫מישהו,itko,valaki,ada,,,iemand,noen,powtarzam,alguém,aude cineva,кто-нибудь,kdo,čuje,någon,duyan,ai,有人
86,أحد,някой,netko,,,jemand,κανένας,anybody,alguien,keegi,näkikö kukaan,sait,מישהו,netko,bárki,seseorang,qualcun,殺し,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdo,netko,någon,gören,ai,有人
87,كان؟,някой,itko,někdo,nogen,irgendjemand,κανένας,anybody,,ükskõik,,n'importe,מישהו,,bárki,siapapun,nessuno,,iemand,helst,kto,alguém,recepţionează cineva,кто-то,kdokoli,itko,helst,duyan,ai,
88,شخص,някой,netko,,nogen,jemand,κανένας,anyone,alguno,keegi,onko kukaan,quelqu'un,מישהו,netko,,ada,qualcun,誰 も,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdo,netko,någon,aranızda,-có ai,有谁
89,,,itko,všichni,nogen,jemand,κανένας,anyone,alguien,keegi,kukaan,,מישהו,itko,,ada,qualcun,者,iemand,noen,ktoś,algum,cineva,никто,kdo,itko,,kimse,ai,有人
90,,някой,netko,chcete,nogen,jemand,κάποιος,anyone,alguien,keegi,loppumme,quelqu'un,כל אחד,,valaki,,avete,誰,iemand,noen,ktoś,alguém,aveţi,кто-нибудь,kdo,zheli,någon,şey,ai,谁有
91,,някой,itko,někdo,nogen,irgendjemand,κανένας,anyone,alguien,,kukaan,quelqu'un,מישהו,tko,valaki,ada,qualcun,誰,iemand,noen,ktoś,alguém,cineva,,kdo vidi,itko,någon,teması olan,,有人
92,أحد,някой,itko,někdo,,jemand,κανένας,anyone,alguien,keegi,kukaan,quelqu'un,מישהו,itko,valaki,ada,qualcun,誰,iemand,,ktoś,alguém,cineva,кто-нибудь,kdokoli,netko,,,ai,有人
93,لشخص,някой,netko,někdo,nogen,jemand,κάποιος,anyone,alguien,,kukaan,quelqu'un,מישהו,netko,valaki,orang,qualcun,,iemand,noen,,alguém,cineva,,kdo,itko,någon,bir,người,有人
94,أى,някой,itko,někdo,nogen,irgend,κανένας,anyone,alguien,keegi,kukaan,quelqu'un,מישהו,itko,valaki,orang,nessuno,誰,iemand,noen,kto,alguém,cineva,кто,kdo,itko,någon,kimse,ai,有人 在吗
95,أحد,някой,itko,někdo,nogen,jemand,κανένας,anyone,alguien,keegi,joku,quelqu'un,כל מי,itko,aki,ada,qualcun,,iemand,noen,ktoś,alguém,cineva,никто,kdo,itko,någon,isteyen,ai,有人
96,أحد,някой,netko,,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,ada,qualcun,誰,iemand,noen,ktoś,alguém,cineva,,kdo,netko,någon,bir,ai,有谁
97,أحد,нещо,netko,někdo,nogen,jemand,κανένας,anybody,alguien,keegi,kukaan,quelqu'un,מישהו,ko,valaki,ada orang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdo,ko,någon,kimse,ai,有人
98,,,tko,,nogen,jemand,λαμβάνει,anyone,alguien,keegi,joku,quelqu'un,מישהו,bilo tko,valaki,ada,nessuno,誰,iemand,helst,kto,alguém,cineva,кто-нибудь,kdokoli,bilo ko,någon,,,有人
99,أحد,никой,nitko,,ingen,niemand,κανένας,anyone,nadie,keegi,kukaan,personne,אחד .לאף אחד,nitko,senki,seorangpun,nessuno,,niemand,ingen,nikt,ninguém,nimeni,никто,nič,nitko,ingen,hickimseye,ai,
100,أحد,някой,tko,někdo,nogen,leute,κανένας,anyone,alguien,keegi,kukaan,quelqu'un,מישהו,itko,bárki,seseorang,nessuno,誰,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdo,itko,någon,herhangi,ai,
101,لشخص,някой,netko,někdo,,jemand,στείλεις,somebody,alguien,,,quelqu'un,למישהי,netko,valaki számára,seseorang,qualcun,ＴＶ,iemand,noen,osobie,alguém,cineva,,nekaj,netko,person,,người,某 人说
102,شخص,чoвeк,netko,neotevřeli,nogen,jemand,κάποιος,somebody,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,orang,qualcun,人,iemand,noen,zajęty,alguém,cineva,кто-то,nekaj,netko,,bir,người,有人
103,امرؤ,някой,netko,,en,jemand,κάποιος,somebody,alguien,keegi,palvelusta eräältä,quelqu'un,ממישהו,netko,,seseorang,qualcun,,iemand,noen,ktoś,pessoa,cuiva,кто-кого,nekdo,netko,någon,,người,
104,شخص,,netko,někdo,skimte,jemand,διακρίνω,somebody,alguien,keegi,joku,sentir,מישהו,netko,valaki,ada seseorang,qualcun,誰 か,,noe,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,,ai,有人
105,شخص,някой,netko,někdo,nogen,kinderbuch,κάποιος,somebody,alguien,keegi,joku,m'a,מישהו,netko,valaki,seseorang,qualcun,送りつけ,,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,có ai,有人
106,شخص,някой,netko,někdo,en,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,人,iemand,noen,ktoś,alguém,cineva,,nekaj,netko,någon,bir,người,有人
107,أحد,някой,netko,,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,calarsi,誰,iemand,noen,ktoś,alguém,cineva,кто-то,,netko,någon,bir,người,有人
108,لشخص,някой,netko,někdo,en,jemand,κάποιος,someone,alguien,tüübiga,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-то,,netko,någon,konuşuyordu,ai,某 人
109,,някой,netko,někdo,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,,netko,valaki,orang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,то-то,nekaj,netko,någon,,ai,
110,احد,някой,netko,někdo,der,jemand,κάποιος,someone,alguien,keegi,joku,,מישהו,netko,valaki,ada orang,qualcun,誰,iemand,noen,ktoś,sozinhos,cineva,кто-то,nekaj,netko,någon,bir,người,有人
111,,някой,netko,,en,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,altcineva,кто-то,nekaj,netko,,,người,人吗
112,أحدكم,някой,netko,někdo,en,,κάποιος,someone,alguien,ühele,eräs,quelqu'un,מישהו,osobi,valaki,orang,qualcun,人,iemand,noen,ktoś,pessoa,cuiva,,,netko,någon,bir,người,
113,شخص,човек,netko,někdo,nogen,jemand,κάποιος,someone,alguien,keegi,eräs,quelqu'un,מישהו,netko,keressen,seseorang,persona,人,iemand,noen,ktoś,pessoa,cineva,человек,nekaj,netko,någon,bir bulmanı,,个
114,,,netko,někdo,en,jemand,κάποιος,someone,alguien,keegi,joku,on,,netko,valaki,ada,qualcun,,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,,có người,有人
115,شخص,някой,netko,,nogen,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,משהו,netko,,ada,qualcun,誰,iemand,noen,sprawą,alguém,cineva,кто-то,nekaj,netko,någon,bir,ai,有人
116,أحدكم,някой,netko,někdo,nogen,jemand,,somebody,alguien,jama,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰 か,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,có ai,
117,شخص,някой,netko,někdo,nogen,jemand,κάπως,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,ai,有人
118,أحداً,,netko,někdo,en,jemand,κάποιος,someone,alguien,,joku toista,quelqu'un,למישהו,netko,,orang,qualcun,誰,iemand,en,ktoś,pessoa,altcineva,кто-то,nekaj,,någon,bir,ai,人
